name,sku,category,price,cost,stock,minStock
"Kelloggs - Gentle Foaming Face Wash 100ml (Variant #3)",SMP-1020,PERSONAL CARE,39.41,28.15,224,15
"Nestle - Heavy Duty Garbage Bags 30s (Variant #3)",SMP-1021,HOUSEHOLD,41.3,29.5,235,15
"Dabur - Almond Milk Unsweetened 1L (Variant #4)",SMP-1022,BEVERAGES,43.19,30.85,246,15
"Britannia - Blueberry Bagels 4 Pack (Variant #4)",SMP-1023,BAKERY,45.08,32.2,257,15
"Amul - Gouda Cheese Block 200g (Variant #4)",SMP-1024,DAIRY,46.97,33.55,18,15
"Sunfeast - Crispy Potato Chips Salted 150g (Variant #4)",SMP-1025,SNACKS,48.86,34.9,29,15
"Parle - Whole Wheat Chakki Atta 5kg (Variant #4)",SMP-1026,STAPLES,50.75,36.25,40,15
"Pepsico - Triple Action Toothpaste 150g (Variant #4)",SMP-1027,PERSONAL CARE,52.64,37.6,51,15
"Unilever - Soft 2-Ply Facial Tissues 200s (Variant #4)",SMP-1028,HOUSEHOLD,54.53,38.95,62,15
"Colgate - Energy Drink 250ml (Variant #5)",SMP-1029,BEVERAGES,56.42,40.3,73,15
"Kelloggs - Multigrain Toast Rusk 300g (Variant #5)",SMP-1030,BAKERY,58.31,41.65,84,15
"Nestle - Low Fat Slim Milk 1L (Variant #5)",SMP-1031,DAIRY,60.2,43,95,15
"Dabur - Trail Mix Dried Fruit 250g (Variant #5)",SMP-1032,SNACKS,62.09,44.35,106,15
"Britannia - Premium Extra Long Basmati Rice 5kg (Variant #5)",SMP-1033,STAPLES,63.98,45.7,117,15
"Amul - Moisturizing Bath Soap 125g (Variant #5)",SMP-1034,PERSONAL CARE,65.87,47.05,128,15
"Sunfeast - Concentrated Laundry Detergent 1L (Variant #5)",SMP-1035,HOUSEHOLD,67.76,48.4,139,15
"Parle - Green Tea Mint 25 Bags (Variant #6)",SMP-1036,BEVERAGES,69.65,49.75,150,15
"Pepsico - Vanilla Sponge Cake 400g (Variant #6)",SMP-1037,BAKERY,71.54,51.1,161,15
"Unilever - Heavy Whipping Cream 250ml (Variant #6)",SMP-1038,DAIRY,73.43,52.45,172,15
"Colgate - Pretzel Thins Sea Salt 120g (Variant #6)",SMP-1039,SNACKS,75.32,53.8,183,15
"Kelloggs - Raw Organic Honey 500g (Variant #6)",SMP-1040,STAPLES,77.21,55.15,194,15
"Nestle - Herbal Nourishing Shampoo 400ml (Variant #6)",SMP-1041,PERSONAL CARE,79.1,56.5,205,15
"Dabur - Disinfectant Floor Cleaner 1L (Variant #6)",SMP-1042,HOUSEHOLD,80.99,57.85,216,15
"Britannia - Arabica Dark Roast Coffee 250g (Variant #7)",SMP-1043,BEVERAGES,82.88,59.2,227,15
"Amul - Chocolate Muffin 2 Pack (Variant #7)",SMP-1044,BAKERY,84.77,60.55,238,15
"Sunfeast - Organic Cottage Cheese 250g (Variant #7)",SMP-1045,DAIRY,86.66,61.9,249,15
"Parle - Nachos Cheese Flavour 150g (Variant #7)",SMP-1046,SNACKS,88.55,63.25,260,15
"Pepsico - Pure Cane White Sugar 1kg (Variant #7)",SMP-1047,STAPLES,90.44,64.6,21,15
"Unilever - Antiseptic Liquid Handwash 250ml (Variant #7)",SMP-1048,PERSONAL CARE,92.33,65.95,32,15
"Colgate - Lemon Dishwashing Gel 750ml (Variant #7)",SMP-1049,HOUSEHOLD,94.22,67.3,43,15
"Kelloggs - Sparkling Lime Water 500ml (Variant #8)",SMP-1050,BEVERAGES,96.11,68.65,54,15
"Nestle - Butter Croissants 4 Pack (Variant #8)",SMP-1051,BAKERY,98,70,65,15
"Dabur - Unsalted Cultured Butter 500g (Variant #8)",SMP-1052,DAIRY,99.89,71.35,76,15
"Britannia - Honey Roasted Cashews 150g (Variant #8)",SMP-1053,SNACKS,101.78,72.7,87,15
"Amul - Pink Himalayan Salt 1kg (Variant #8)",SMP-1054,STAPLES,103.67,74.05,98,15
"Sunfeast - Aloe Vera Hair Conditioner 200ml (Variant #8)",SMP-1055,PERSONAL CARE,105.56,75.4,109,15
"Parle - Fabric Softener Fresh 1L (Variant #8)",SMP-1056,HOUSEHOLD,107.45,76.75,120,15
"Pepsico - Organic Orange Juice 1L (Variant #9)",SMP-1057,BEVERAGES,109.34,78.1,131,15
"Unilever - Artisanal Sourdough Loaf (Variant #9)",SMP-1058,BAKERY,111.23,79.45,142,15
"Colgate - Aged Cheddar Cheese Slice 200g (Variant #9)",SMP-1059,DAIRY,113.12,80.8,153,15
"Kelloggs - Oatmeal Raisin Cookies 250g (Variant #9)",SMP-1060,SNACKS,115.01,82.15,164,15
"Nestle - Refined Sunflower Cooking Oil 1L (Variant #9)",SMP-1061,STAPLES,116.9,83.5,175,15
"Dabur - Deep Moisture Body Lotion 400ml (Variant #9)",SMP-1062,PERSONAL CARE,118.79,84.85,186,15
"Britannia - Microfiber Cleaning Cloth 4 Pack (Variant #9)",SMP-1063,HOUSEHOLD,120.68,86.2,197,15
"Amul - Mango Nectar Juice 1L (Variant #10)",SMP-1064,BEVERAGES,3.57,2.55,208,15
"Sunfeast - Whole Wheat Sandwich Bread (Variant #10)",SMP-1065,BAKERY,5.46,3.9,219,15
"Parle - Greek Yogurt Strawberry 200g (Variant #10)",SMP-1066,DAIRY,7.35,5.25,230,15
"Pepsico - 70% Dark Belgian Chocolate 100g (Variant #10)",SMP-1067,SNACKS,9.24,6.6,241,15
"Unilever - Extra Virgin Olive Oil 1L (Variant #10)",SMP-1068,STAPLES,11.13,7.95,252,15
"Colgate - Hydrating Hand Sanitizer 250ml (Variant #10)",SMP-1069,PERSONAL CARE,13.02,9.3,263,15
"Kelloggs - Multi-Surface Cleaner Spray 500ml (Variant #10)",SMP-1070,HOUSEHOLD,14.91,10.65,24,15
"Nestle - Pure Coconut Water 330ml (Variant #11)",SMP-1071,BEVERAGES,16.8,12,35,15
"Dabur - Gluten Free Oat Bread (Variant #11)",SMP-1072,BAKERY,18.69,13.35,46,15
"Britannia - Fresh Full Cream Milk 1L (Variant #11)",SMP-1073,DAIRY,20.58,14.7,57,15
"Amul - Roasted Salted Almonds 200g (Variant #11)",SMP-1074,SNACKS,22.47,16.05,68,15
"Sunfeast - Organic Toor Dal 1kg (Variant #11)",SMP-1075,STAPLES,24.36,17.4,79,15
"Parle - Gentle Foaming Face Wash 100ml (Variant #11)",SMP-1076,PERSONAL CARE,26.25,18.75,90,15
"Pepsico - Heavy Duty Garbage Bags 30s (Variant #11)",SMP-1077,HOUSEHOLD,28.14,20.1,101,15
"Unilever - Almond Milk Unsweetened 1L (Variant #12)",SMP-1078,BEVERAGES,30.03,21.45,112,15
"Colgate - Blueberry Bagels 4 Pack (Variant #12)",SMP-1079,BAKERY,31.92,22.8,123,15
"Kelloggs - Gouda Cheese Block 200g (Variant #12)",SMP-1080,DAIRY,33.81,24.15,134,15
"Nestle - Crispy Potato Chips Salted 150g (Variant #12)",SMP-1081,SNACKS,35.7,25.5,145,15
"Dabur - Whole Wheat Chakki Atta 5kg (Variant #12)",SMP-1082,STAPLES,37.59,26.85,156,15
"Britannia - Triple Action Toothpaste 150g (Variant #12)",SMP-1083,PERSONAL CARE,39.48,28.2,167,15
"Amul - Soft 2-Ply Facial Tissues 200s (Variant #12)",SMP-1084,HOUSEHOLD,41.37,29.55,178,15
"Sunfeast - Energy Drink 250ml (Variant #13)",SMP-1085,BEVERAGES,43.26,30.9,189,15
"Parle - Multigrain Toast Rusk 300g (Variant #13)",SMP-1086,BAKERY,45.15,32.25,200,15
"Pepsico - Low Fat Slim Milk 1L (Variant #13)",SMP-1087,DAIRY,47.04,33.6,211,15
"Unilever - Trail Mix Dried Fruit 250g (Variant #13)",SMP-1088,SNACKS,48.93,34.95,222,15
"Colgate - Premium Extra Long Basmati Rice 5kg (Variant #13)",SMP-1089,STAPLES,50.82,36.3,233,15
"Kelloggs - Moisturizing Bath Soap 125g (Variant #13)",SMP-1090,PERSONAL CARE,52.71,37.65,244,15
"Nestle - Concentrated Laundry Detergent 1L (Variant #13)",SMP-1091,HOUSEHOLD,54.6,39,255,15
"Dabur - Green Tea Mint 25 Bags (Variant #14)",SMP-1092,BEVERAGES,56.49,40.35,16,15
"Britannia - Vanilla Sponge Cake 400g (Variant #14)",SMP-1093,BAKERY,58.38,41.7,27,15
"Amul - Heavy Whipping Cream 250ml (Variant #14)",SMP-1094,DAIRY,60.27,43.05,38,15
"Sunfeast - Pretzel Thins Sea Salt 120g (Variant #14)",SMP-1095,SNACKS,62.16,44.4,49,15
"Parle - Raw Organic Honey 500g (Variant #14)",SMP-1096,STAPLES,64.05,45.75,60,15
"Pepsico - Herbal Nourishing Shampoo 400ml (Variant #14)",SMP-1097,PERSONAL CARE,65.94,47.1,71,15
"Unilever - Disinfectant Floor Cleaner 1L (Variant #14)",SMP-1098,HOUSEHOLD,67.83,48.45,82,15
"Colgate - Arabica Dark Roast Coffee 250g (Variant #15)",SMP-1099,BEVERAGES,69.72,49.8,93,15
"Kelloggs - Chocolate Muffin 2 Pack (Variant #15)",SMP-1100,BAKERY,71.61,51.15,104,15
"Nestle - Organic Cottage Cheese 250g (Variant #15)",SMP-1101,DAIRY,73.5,52.5,115,15
"Dabur - Nachos Cheese Flavour 150g (Variant #15)",SMP-1102,SNACKS,75.39,53.85,126,15
"Britannia - Pure Cane White Sugar 1kg (Variant #15)",SMP-1103,STAPLES,77.28,55.2,137,15
"Amul - Antiseptic Liquid Handwash 250ml (Variant #15)",SMP-1104,PERSONAL CARE,79.17,56.55,148,15
"Sunfeast - Lemon Dishwashing Gel 750ml (Variant #15)",SMP-1105,HOUSEHOLD,81.06,57.9,159,15
"Parle - Sparkling Lime Water 500ml (Variant #16)",SMP-1106,BEVERAGES,82.95,59.25,170,15
"Pepsico - Butter Croissants 4 Pack (Variant #16)",SMP-1107,BAKERY,84.84,60.6,181,15
"Unilever - Unsalted Cultured Butter 500g (Variant #16)",SMP-1108,DAIRY,86.73,61.95,192,15
"Colgate - Honey Roasted Cashews 150g (Variant #16)",SMP-1109,SNACKS,88.62,63.3,203,15
"Kelloggs - Pink Himalayan Salt 1kg (Variant #16)",SMP-1110,STAPLES,90.51,64.65,214,15
"Nestle - Aloe Vera Hair Conditioner 200ml (Variant #16)",SMP-1111,PERSONAL CARE,92.4,66,225,15
"Dabur - Fabric Softener Fresh 1L (Variant #16)",SMP-1112,HOUSEHOLD,94.29,67.35,236,15
"Britannia - Organic Orange Juice 1L (Variant #17)",SMP-1113,BEVERAGES,96.18,68.7,247,15
"Amul - Artisanal Sourdough Loaf (Variant #17)",SMP-1114,BAKERY,98.07,70.05,258,15
"Sunfeast - Aged Cheddar Cheese Slice 200g (Variant #17)",SMP-1115,DAIRY,99.96,71.4,19,15
"Parle - Oatmeal Raisin Cookies 250g (Variant #17)",SMP-1116,SNACKS,101.85,72.75,30,15
"Pepsico - Refined Sunflower Cooking Oil 1L (Variant #17)",SMP-1117,STAPLES,103.74,74.1,41,15
"Unilever - Deep Moisture Body Lotion 400ml (Variant #17)",SMP-1118,PERSONAL CARE,105.63,75.45,52,15
"Colgate - Microfiber Cleaning Cloth 4 Pack (Variant #17)",SMP-1119,HOUSEHOLD,107.52,76.8,63,15
"Kelloggs - Mango Nectar Juice 1L (Variant #18)",SMP-1120,BEVERAGES,109.41,78.15,74,15
"Nestle - Whole Wheat Sandwich Bread (Variant #18)",SMP-1121,BAKERY,111.3,79.5,85,15
"Dabur - Greek Yogurt Strawberry 200g (Variant #18)",SMP-1122,DAIRY,113.19,80.85,96,15
"Britannia - 70% Dark Belgian Chocolate 100g (Variant #18)",SMP-1123,SNACKS,115.08,82.2,107,15
"Amul - Extra Virgin Olive Oil 1L (Variant #18)",SMP-1124,STAPLES,116.97,83.55,118,15
"Sunfeast - Hydrating Hand Sanitizer 250ml (Variant #18)",SMP-1125,PERSONAL CARE,118.86,84.9,129,15
"Parle - Multi-Surface Cleaner Spray 500ml (Variant #18)",SMP-1126,HOUSEHOLD,120.75,86.25,140,15
"Pepsico - Pure Coconut Water 330ml (Variant #19)",SMP-1127,BEVERAGES,3.64,2.6,151,15
"Unilever - Gluten Free Oat Bread (Variant #19)",SMP-1128,BAKERY,5.53,3.95,162,15
"Colgate - Fresh Full Cream Milk 1L (Variant #19)",SMP-1129,DAIRY,7.42,5.3,173,15
"Kelloggs - Roasted Salted Almonds 200g (Variant #19)",SMP-1130,SNACKS,9.31,6.65,184,15
"Nestle - Organic Toor Dal 1kg (Variant #19)",SMP-1131,STAPLES,11.2,8,195,15
"Dabur - Gentle Foaming Face Wash 100ml (Variant #19)",SMP-1132,PERSONAL CARE,13.09,9.35,206,15
"Britannia - Heavy Duty Garbage Bags 30s (Variant #19)",SMP-1133,HOUSEHOLD,14.98,10.7,217,15
"Amul - Almond Milk Unsweetened 1L (Variant #20)",SMP-1134,BEVERAGES,16.87,12.05,228,15
"Sunfeast - Blueberry Bagels 4 Pack (Variant #20)",SMP-1135,BAKERY,18.76,13.4,239,15
"Parle - Gouda Cheese Block 200g (Variant #20)",SMP-1136,DAIRY,20.65,14.75,250,15
"Pepsico - Crispy Potato Chips Salted 150g (Variant #20)",SMP-1137,SNACKS,22.54,16.1,261,15
"Unilever - Whole Wheat Chakki Atta 5kg (Variant #20)",SMP-1138,STAPLES,24.43,17.45,22,15
"Colgate - Triple Action Toothpaste 150g (Variant #20)",SMP-1139,PERSONAL CARE,26.32,18.8,33,15
"Kelloggs - Soft 2-Ply Facial Tissues 200s (Variant #20)",SMP-1140,HOUSEHOLD,28.21,20.15,44,15
"Nestle - Energy Drink 250ml (Variant #21)",SMP-1141,BEVERAGES,30.1,21.5,55,15
"Dabur - Multigrain Toast Rusk 300g (Variant #21)",SMP-1142,BAKERY,31.99,22.85,66,15
"Britannia - Low Fat Slim Milk 1L (Variant #21)",SMP-1143,DAIRY,33.88,24.2,77,15
"Amul - Trail Mix Dried Fruit 250g (Variant #21)",SMP-1144,SNACKS,35.77,25.55,88,15
"Sunfeast - Premium Extra Long Basmati Rice 5kg (Variant #21)",SMP-1145,STAPLES,37.66,26.9,99,15
"Parle - Moisturizing Bath Soap 125g (Variant #21)",SMP-1146,PERSONAL CARE,39.55,28.25,110,15
"Pepsico - Concentrated Laundry Detergent 1L (Variant #21)",SMP-1147,HOUSEHOLD,41.44,29.6,121,15
"Unilever - Green Tea Mint 25 Bags (Variant #22)",SMP-1148,BEVERAGES,43.33,30.95,132,15
"Colgate - Vanilla Sponge Cake 400g (Variant #22)",SMP-1149,BAKERY,45.22,32.3,143,15
"Kelloggs - Heavy Whipping Cream 250ml (Variant #22)",SMP-1150,DAIRY,47.11,33.65,154,15
"Nestle - Pretzel Thins Sea Salt 120g (Variant #22)",SMP-1151,SNACKS,49,35,165,15
"Dabur - Raw Organic Honey 500g (Variant #22)",SMP-1152,STAPLES,50.89,36.35,176,15
"Britannia - Herbal Nourishing Shampoo 400ml (Variant #22)",SMP-1153,PERSONAL CARE,52.78,37.7,187,15
"Amul - Disinfectant Floor Cleaner 1L (Variant #22)",SMP-1154,HOUSEHOLD,54.67,39.05,198,15
"Sunfeast - Arabica Dark Roast Coffee 250g (Variant #23)",SMP-1155,BEVERAGES,56.56,40.4,209,15
"Parle - Chocolate Muffin 2 Pack (Variant #23)",SMP-1156,BAKERY,58.45,41.75,220,15
"Pepsico - Organic Cottage Cheese 250g (Variant #23)",SMP-1157,DAIRY,60.34,43.1,231,15
"Unilever - Nachos Cheese Flavour 150g (Variant #23)",SMP-1158,SNACKS,62.23,44.45,242,15
"Colgate - Pure Cane White Sugar 1kg (Variant #23)",SMP-1159,STAPLES,64.12,45.8,253,15
"Kelloggs - Antiseptic Liquid Handwash 250ml (Variant #23)",SMP-1160,PERSONAL CARE,66.01,47.15,264,15
"Nestle - Lemon Dishwashing Gel 750ml (Variant #23)",SMP-1161,HOUSEHOLD,67.9,48.5,25,15
"Dabur - Sparkling Lime Water 500ml (Variant #24)",SMP-1162,BEVERAGES,69.79,49.85,36,15
"Britannia - Butter Croissants 4 Pack (Variant #24)",SMP-1163,BAKERY,71.68,51.2,47,15
"Amul - Unsalted Cultured Butter 500g (Variant #24)",SMP-1164,DAIRY,73.57,52.55,58,15
"Sunfeast - Honey Roasted Cashews 150g (Variant #24)",SMP-1165,SNACKS,75.46,53.9,69,15
"Parle - Pink Himalayan Salt 1kg (Variant #24)",SMP-1166,STAPLES,77.35,55.25,80,15
"Pepsico - Aloe Vera Hair Conditioner 200ml (Variant #24)",SMP-1167,PERSONAL CARE,79.24,56.6,91,15
"Unilever - Fabric Softener Fresh 1L (Variant #24)",SMP-1168,HOUSEHOLD,81.13,57.95,102,15
"Colgate - Organic Orange Juice 1L (Variant #25)",SMP-1169,BEVERAGES,83.02,59.3,113,15
"Kelloggs - Artisanal Sourdough Loaf (Variant #25)",SMP-1170,BAKERY,84.91,60.65,124,15
"Nestle - Aged Cheddar Cheese Slice 200g (Variant #25)",SMP-1171,DAIRY,86.8,62,135,15
"Dabur - Oatmeal Raisin Cookies 250g (Variant #25)",SMP-1172,SNACKS,88.69,63.35,146,15
"Britannia - Refined Sunflower Cooking Oil 1L (Variant #25)",SMP-1173,STAPLES,90.58,64.7,157,15
"Amul - Deep Moisture Body Lotion 400ml (Variant #25)",SMP-1174,PERSONAL CARE,92.47,66.05,168,15
"Sunfeast - Microfiber Cleaning Cloth 4 Pack (Variant #25)",SMP-1175,HOUSEHOLD,94.36,67.4,179,15
"Parle - Mango Nectar Juice 1L (Variant #26)",SMP-1176,BEVERAGES,96.25,68.75,190,15
"Pepsico - Whole Wheat Sandwich Bread (Variant #26)",SMP-1177,BAKERY,98.14,70.1,201,15
"Unilever - Greek Yogurt Strawberry 200g (Variant #26)",SMP-1178,DAIRY,100.03,71.45,212,15
"Colgate - 70% Dark Belgian Chocolate 100g (Variant #26)",SMP-1179,SNACKS,101.92,72.8,223,15
"Kelloggs - Extra Virgin Olive Oil 1L (Variant #26)",SMP-1180,STAPLES,103.81,74.15,234,15
"Nestle - Hydrating Hand Sanitizer 250ml (Variant #26)",SMP-1181,PERSONAL CARE,105.7,75.5,245,15
"Dabur - Multi-Surface Cleaner Spray 500ml (Variant #26)",SMP-1182,HOUSEHOLD,107.59,76.85,256,15
"Britannia - Pure Coconut Water 330ml (Variant #27)",SMP-1183,BEVERAGES,109.48,78.2,17,15
"Amul - Gluten Free Oat Bread (Variant #27)",SMP-1184,BAKERY,111.37,79.55,28,15
"Sunfeast - Fresh Full Cream Milk 1L (Variant #27)",SMP-1185,DAIRY,113.26,80.9,39,15
"Parle - Roasted Salted Almonds 200g (Variant #27)",SMP-1186,SNACKS,115.15,82.25,50,15
"Pepsico - Organic Toor Dal 1kg (Variant #27)",SMP-1187,STAPLES,117.04,83.6,61,15
"Unilever - Gentle Foaming Face Wash 100ml (Variant #27)",SMP-1188,PERSONAL CARE,118.93,84.95,72,15
"Colgate - Heavy Duty Garbage Bags 30s (Variant #27)",SMP-1189,HOUSEHOLD,120.82,86.3,83,15
"Kelloggs - Almond Milk Unsweetened 1L (Variant #28)",SMP-1190,BEVERAGES,3.71,2.65,94,15
"Nestle - Blueberry Bagels 4 Pack (Variant #28)",SMP-1191,BAKERY,5.6,4,105,15
"Dabur - Gouda Cheese Block 200g (Variant #28)",SMP-1192,DAIRY,7.49,5.35,116,15
"Britannia - Crispy Potato Chips Salted 150g (Variant #28)",SMP-1193,SNACKS,9.38,6.7,127,15
"Amul - Whole Wheat Chakki Atta 5kg (Variant #28)",SMP-1194,STAPLES,11.27,8.05,138,15
"Sunfeast - Triple Action Toothpaste 150g (Variant #28)",SMP-1195,PERSONAL CARE,13.16,9.4,149,15
"Parle - Soft 2-Ply Facial Tissues 200s (Variant #28)",SMP-1196,HOUSEHOLD,15.05,10.75,160,15
"Pepsico - Energy Drink 250ml (Variant #29)",SMP-1197,BEVERAGES,16.94,12.1,171,15
"Unilever - Multigrain Toast Rusk 300g (Variant #29)",SMP-1198,BAKERY,18.83,13.45,182,15
"Colgate - Low Fat Slim Milk 1L (Variant #29)",SMP-1199,DAIRY,20.72,14.8,193,15
"Kelloggs - Trail Mix Dried Fruit 250g (Variant #29)",SMP-1200,SNACKS,22.61,16.15,204,15
"Nestle - Premium Extra Long Basmati Rice 5kg (Variant #29)",SMP-1201,STAPLES,24.5,17.5,215,15
"Dabur - Moisturizing Bath Soap 125g (Variant #29)",SMP-1202,PERSONAL CARE,26.39,18.85,226,15
"Britannia - Concentrated Laundry Detergent 1L (Variant #29)",SMP-1203,HOUSEHOLD,28.28,20.2,237,15
"Amul - Green Tea Mint 25 Bags (Variant #30)",SMP-1204,BEVERAGES,30.17,21.55,248,15
"Sunfeast - Vanilla Sponge Cake 400g (Variant #30)",SMP-1205,BAKERY,32.06,22.9,259,15
"Parle - Heavy Whipping Cream 250ml (Variant #30)",SMP-1206,DAIRY,33.95,24.25,20,15
"Pepsico - Pretzel Thins Sea Salt 120g (Variant #30)",SMP-1207,SNACKS,35.84,25.6,31,15
"Unilever - Raw Organic Honey 500g (Variant #30)",SMP-1208,STAPLES,37.73,26.95,42,15
"Colgate - Herbal Nourishing Shampoo 400ml (Variant #30)",SMP-1209,PERSONAL CARE,39.62,28.3,53,15
"Kelloggs - Disinfectant Floor Cleaner 1L (Variant #30)",SMP-1210,HOUSEHOLD,41.51,29.65,64,15
"Nestle - Arabica Dark Roast Coffee 250g (Variant #31)",SMP-1211,BEVERAGES,43.4,31,75,15
"Dabur - Chocolate Muffin 2 Pack (Variant #31)",SMP-1212,BAKERY,45.29,32.35,86,15
"Britannia - Organic Cottage Cheese 250g (Variant #31)",SMP-1213,DAIRY,47.18,33.7,97,15
"Amul - Nachos Cheese Flavour 150g (Variant #31)",SMP-1214,SNACKS,49.07,35.05,108,15
"Sunfeast - Pure Cane White Sugar 1kg (Variant #31)",SMP-1215,STAPLES,50.96,36.4,119,15
"Parle - Antiseptic Liquid Handwash 250ml (Variant #31)",SMP-1216,PERSONAL CARE,52.85,37.75,130,15
"Pepsico - Lemon Dishwashing Gel 750ml (Variant #31)",SMP-1217,HOUSEHOLD,54.74,39.1,141,15
"Unilever - Sparkling Lime Water 500ml (Variant #32)",SMP-1218,BEVERAGES,56.63,40.45,152,15
"Colgate - Butter Croissants 4 Pack (Variant #32)",SMP-1219,BAKERY,58.52,41.8,163,15
"Kelloggs - Unsalted Cultured Butter 500g (Variant #32)",SMP-1220,DAIRY,60.41,43.15,174,15
"Nestle - Honey Roasted Cashews 150g (Variant #32)",SMP-1221,SNACKS,62.3,44.5,185,15
"Dabur - Pink Himalayan Salt 1kg (Variant #32)",SMP-1222,STAPLES,64.19,45.85,196,15
"Britannia - Aloe Vera Hair Conditioner 200ml (Variant #32)",SMP-1223,PERSONAL CARE,66.08,47.2,207,15
"Amul - Fabric Softener Fresh 1L (Variant #32)",SMP-1224,HOUSEHOLD,67.97,48.55,218,15
"Sunfeast - Organic Orange Juice 1L (Variant #33)",SMP-1225,BEVERAGES,69.86,49.9,229,15
"Parle - Artisanal Sourdough Loaf (Variant #33)",SMP-1226,BAKERY,71.75,51.25,240,15
"Pepsico - Aged Cheddar Cheese Slice 200g (Variant #33)",SMP-1227,DAIRY,73.64,52.6,251,15
"Unilever - Oatmeal Raisin Cookies 250g (Variant #33)",SMP-1228,SNACKS,75.53,53.95,262,15
"Colgate - Refined Sunflower Cooking Oil 1L (Variant #33)",SMP-1229,STAPLES,77.42,55.3,23,15
"Kelloggs - Deep Moisture Body Lotion 400ml (Variant #33)",SMP-1230,PERSONAL CARE,79.31,56.65,34,15
"Nestle - Microfiber Cleaning Cloth 4 Pack (Variant #33)",SMP-1231,HOUSEHOLD,81.2,58,45,15
"Dabur - Mango Nectar Juice 1L (Variant #34)",SMP-1232,BEVERAGES,83.09,59.35,56,15
"Britannia - Whole Wheat Sandwich Bread (Variant #34)",SMP-1233,BAKERY,84.98,60.7,67,15
"Amul - Greek Yogurt Strawberry 200g (Variant #34)",SMP-1234,DAIRY,86.87,62.05,78,15
"Sunfeast - 70% Dark Belgian Chocolate 100g (Variant #34)",SMP-1235,SNACKS,88.76,63.4,89,15
"Parle - Extra Virgin Olive Oil 1L (Variant #34)",SMP-1236,STAPLES,90.65,64.75,100,15
"Pepsico - Hydrating Hand Sanitizer 250ml (Variant #34)",SMP-1237,PERSONAL CARE,92.54,66.1,111,15
"Unilever - Multi-Surface Cleaner Spray 500ml (Variant #34)",SMP-1238,HOUSEHOLD,94.43,67.45,122,15
"Colgate - Pure Coconut Water 330ml (Variant #35)",SMP-1239,BEVERAGES,96.32,68.8,133,15
"Kelloggs - Gluten Free Oat Bread (Variant #35)",SMP-1240,BAKERY,98.21,70.15,144,15
"Nestle - Fresh Full Cream Milk 1L (Variant #35)",SMP-1241,DAIRY,100.1,71.5,155,15
"Dabur - Roasted Salted Almonds 200g (Variant #35)",SMP-1242,SNACKS,101.99,72.85,166,15
"Britannia - Organic Toor Dal 1kg (Variant #35)",SMP-1243,STAPLES,103.88,74.2,177,15
"Amul - Gentle Foaming Face Wash 100ml (Variant #35)",SMP-1244,PERSONAL CARE,105.77,75.55,188,15
"Sunfeast - Heavy Duty Garbage Bags 30s (Variant #35)",SMP-1245,HOUSEHOLD,107.66,76.9,199,15
"Parle - Almond Milk Unsweetened 1L (Variant #36)",SMP-1246,BEVERAGES,109.55,78.25,210,15
"Pepsico - Blueberry Bagels 4 Pack (Variant #36)",SMP-1247,BAKERY,111.44,79.6,221,15
"Unilever - Gouda Cheese Block 200g (Variant #36)",SMP-1248,DAIRY,113.33,80.95,232,15
